epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.574,1.203,0.84113,1.45162,0.82259,0.78322,0.82943,0.54117,1.45947,0.86684,1.54776,0.000247596,0.000247596,0.0507284
2,357.015,1.12559,0.79481,1.35943,0.91353,0.8114,0.88197,0.572,1.41103,0.80599,1.47908,0.000497406,0.000497406,0.000978175
3,521.142,1.09646,0.79823,1.3387,0.8553,0.80423,0.86186,0.57073,1.37407,0.84189,1.47517,0.000499237,0.000499237,0.000499237
4,658.13,1.06359,0.77666,1.3338,0.87465,0.80007,0.86038,0.54658,1.45005,0.84488,1.50938,0.000498284,0.000498284,0.000498284
5,804.165,1.04527,0.7509,1.31469,0.89876,0.80355,0.87463,0.56123,1.38888,0.81205,1.49577,0.000496953,0.000496953,0.000496953
6,1156.6,1.02891,0.75783,1.29407,0.84375,0.78386,0.85068,0.56036,1.38317,0.83337,1.49326,0.000495244,0.000495244,0.000495244
7,1311.12,0.99894,0.74745,1.27867,0.80141,0.83517,0.84061,0.55294,1.40277,0.8316,1.50955,0.000493162,0.000493162,0.000493162
8,1475.05,0.99967,0.73759,1.27727,0.84132,0.79016,0.84325,0.56433,1.38591,0.81583,1.50328,0.000490708,0.000490708,0.000490708
9,1656.72,1.00013,0.7342,1.26031,0.86117,0.81951,0.85781,0.55269,1.43651,0.82453,1.53772,0.000487886,0.000487886,0.000487886
10,1877.88,0.99443,0.72582,1.28376,0.8504,0.79669,0.84496,0.56101,1.40186,0.82822,1.51951,0.000484702,0.000484702,0.000484702
11,2057.13,0.96276,0.72224,1.24464,0.83237,0.80918,0.84594,0.5622,1.38728,0.81071,1.51002,0.00048116,0.00048116,0.00048116
12,2225.6,0.99049,0.75674,1.25389,0.8624,0.80534,0.85744,0.57031,1.36287,0.78851,1.51517,0.000477265,0.000477265,0.000477265
13,2417.37,1.00386,0.73885,1.26947,0.84436,0.80352,0.84756,0.56559,1.40684,0.81463,1.52645,0.000473024,0.000473024,0.000473024
14,2602.45,0.93529,0.67282,1.22064,0.79638,0.83826,0.84132,0.54943,1.47194,0.81456,1.5593,0.000468443,0.000468443,0.000468443
15,2770.27,0.98431,0.71212,1.25217,0.83013,0.81083,0.85945,0.56308,1.46372,0.81482,1.56591,0.000463528,0.000463528,0.000463528
16,2876.34,0.96337,0.69737,1.24423,0.82804,0.84418,0.8582,0.5572,1.42675,0.81135,1.55585,0.000458289,0.000458289,0.000458289
17,3009.85,0.95352,0.68798,1.25521,0.85607,0.82735,0.86241,0.55939,1.45945,0.79485,1.57985,0.000452732,0.000452732,0.000452732
18,3154.5,0.95331,0.70683,1.22401,0.84604,0.83249,0.85267,0.54391,1.49597,0.80305,1.57185,0.000446866,0.000446866,0.000446866
19,3287.98,0.95088,0.67362,1.22732,0.87745,0.82072,0.8573,0.55872,1.45851,0.78291,1.55704,0.0004407,0.0004407,0.0004407
20,3415.36,0.94603,0.70899,1.22715,0.84861,0.82645,0.86417,0.55774,1.44542,0.80711,1.56367,0.000434245,0.000434245,0.000434245
21,3558.4,0.9207,0.67423,1.22639,0.82724,0.80329,0.84228,0.55277,1.46584,0.82108,1.57918,0.000427509,0.000427509,0.000427509
22,3636.99,0.90838,0.66769,1.21104,0.83429,0.81251,0.86162,0.54782,1.47666,0.81703,1.58381,0.000420503,0.000420503,0.000420503
23,3767.91,0.89401,0.67033,1.21238,0.87168,0.82129,0.86504,0.56209,1.40533,0.80756,1.55582,0.000413238,0.000413238,0.000413238
24,3890.53,0.88045,0.67148,1.19458,0.84366,0.80675,0.85358,0.54668,1.47142,0.79764,1.61864,0.000405726,0.000405726,0.000405726
25,4037.01,0.90952,0.68019,1.2124,0.84666,0.81542,0.85198,0.53789,1.47605,0.82666,1.60235,0.000397977,0.000397977,0.000397977
26,4202.96,0.94143,0.70557,1.22978,0.86723,0.82699,0.86134,0.56492,1.42578,0.78531,1.57585,0.000390004,0.000390004,0.000390004
27,4388.75,0.91354,0.66999,1.22783,0.86869,0.82133,0.86383,0.56145,1.41325,0.78815,1.56403,0.000381818,0.000381818,0.000381818
